Д4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
знать,осень,мочь,время,чёрный,жизнь,белый,небо,друг,сердце
слово,лист,жить,год,серый,каждый,снег,ночь,круг,любовь
снова,лето,понять,день,красный,мир,город,солнце,жить,душа
любить,дождь,просто,новый,кровь,человек,зима,звезда,словно,счастие
стать,ветер,сон,память,кошка,жить,белые,сон,близкий,чувство
просто,осенний,остаться,самый,тень,новый,весна,свет,человек,боль
хотеть,капля,верить,уходить,белый,бог,цвет,ветер,вместе,слеза
хороший,жёлтый,мир,прийти,тёмный,смерть,снежный,день,год,радость
сказать,листва,мысль,мир,лицо,год,падать,земля,день,кровь
хотеться,зима,кошка,вечность,смерть,судьба,зимний,луна,дать,надежда
,,,,,,,,,
Д5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
мочь,дождь,друг,жизнь,небо,сердце,просто,знать,каждый,душа
стена,осень,круг,человек,ночь,любовь,любить,верить,слово,бог
смочь,ветер,двое,мир,солнце,счастие,хотеть,глаз,время,стать
сказать,лист,жить,жить,сон,свет,большой,помнить,память,дать
самый,лето,счастие,хороший,окно,последний,сказать,имя,год,нежный
рука,осенний,понять,зло,белый,смерть,слово,город,сколько,господь
большой,серый,стоять,боль,весна,кровь,остаться,мальчик,первый,спешить
простой,листва,миг,вечный,утро,мир,значит,счастливый,детство,уйти
мысль,последний,небо,бесконечный,звезда,крыло,стать,время,море,быстро
слеза,капля,словно,кошка,снег,вера,завтра,смотреть,старый,милый
,,,,,,,,,
Д3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
ночь,небо,мочь,осень,время,жизнь,сердце,душа,стать,знать
сон,звезда,юность,лист,имя,мир,любовь,бог,боль,снова
день,земля,судьба,дождь,надежда,смерть,счастие,дать,вновь,хотеть
ветер,крыло,понять,лето,боль,год,вновь,человек,лето,просто
словно,солнце,легко,жёлтый,вечность,судьба,нежный,мир,судьба,друг
окно,облако,дело,ветер,память,путь,надежда,свет,ребёнок,любить
белый,упасть,тело,листва,строка,хороший,кровь,сила,сегодня,слово
солнце,лето,глаз,осенний,месяц,вечный,вера,господь,чужой,верить
снег,луна,случиться,капля,год,человек,радость,видеть,сладкий,жить
дом,лететь,умереть,зима,дать,боль,милый,вечный,большой,ждать
,,,,,,,,,
Х4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
знать,небо,душа,день,жизнь,мочь,друг,стать,год,любить
хотеть,ветер,сердце,ночь,мир,понять,круг,мир,новый,забыть
жить,солнце,любовь,каждый,судьба,просто,хороший,сразу,счастие,милый
сказать,свет,боль,тень,смерть,иль,милый,дело,время,простить
просто,снег,счастие,целый,жить,помочь,рука,большой,дом,родный
мама,дождь,слово,утро,человек,найти,вместе,лёгкий,старый,любимый
человек,белый,вновь,ночью,путь,стоить,вокруг,мало,ждать,жить
дать,сон,глаз,спать,дать,случиться,враг,взять,праздник,любовь
хороший,звезда,чувство,сегодня,счастие,почему,дом,хороший,идти,просто
говорить,ночь,слеза,час,свет,простить,рядом,маленький,мороз,почему
,,,,,,,,,
Х6,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
ночь,небо,осень,душа,день,мочь,любовь,белый,друг,жизнь
глаз,солнце,лист,сердце,год,знать,счастие,снег,вместе,бог
рука,ветер,лето,тело,новый,просто,вновь,зима,дождь,мир
сон,земля,золотой,боль,каждый,любить,мечта,белые,просто,дорога
окно,море,дождь,слеза,счастие,хотеть,надежда,снежинка,идти,путь
снова,облако,жёлтый,биться,время,жить,свет,окно,круг,идти
дом,свет,ветер,хотеть,человек,почему,любить,снежный,тоска,человек
милый,поле,листва,слово,прийти,слово,чувство,метель,рядом,судьба
спать,звезда,зима,чувство,ждать,понять,вера,чёрный,стол,смерть
тишина,волна,лужа,тоска,ребёнок,сказать,любимый,кружиться,забывать,дать
,,,,,,,,,
Х8,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
день,свет,осень,любовь,мочь,жизнь,небо,хотеть,просто,знать
год,мир,дождь,сердце,идти,бог,звезда,стать,начать,ждать
новый,вечность,лето,любить,человек,душа,ночь,человек,глаз,любить
друг,вечный,снег,рука,писать,жить,солнце,сказать,случайно,почему
каждый,мысль,ветер,душа,искать,путь,луна,верить,наверно,найти
время,светлый,белый,боль,чёрный,человек,сон,забыть,ответ,сказать
большой,миг,солнце,кровь,понять,земля,ветер,море,нужно,точно
дом,каждый,окно,счастие,друг,судьба,облако,слово,лететь,забыть
праздник,огонь,лист,глаз,мама,дорога,земля,дело,слово,милый
сегодня,полёт,зима,вновь,путь,дать,синий,ночью,уйти,смотреть
,,,,,,,,,
Х3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
душа,небо,мочь,жизнь,день,осень,любить,белый,стать,сердце
любовь,солнце,просто,судьба,сон,ветер,знать,снег,хороший,рука
счастие,звезда,дать,человек,ночь,лето,хотеть,чёрный,милый,биться
бог,облако,понять,смерть,свет,лист,жить,зима,мир,чувство
кровь,земля,уйти,год,спать,дождь,сказать,красный,друг,боль
слово,голубой,время,счастие,глаз,золотой,ждать,словно,бог,счастие
вновь,птица,дорога,жить,окно,жёлтый,просто,чистый,песня,нежный
мир,синий,птица,дорога,год,солнце,верить,цвет,мало,грудь
боль,море,хороший,путь,рука,плакать,забыть,мороз,птица,словно
дать,свет,думать,мир,снова,трава,говорить,нога,рука,мысль
,,,,,,,,,
Х5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
мочь,небо,любовь,жизнь,день,осень,друг,душа,знать,хотеть
стать,земля,счастие,судьба,год,дождь,круг,сердце,любить,стать
судьба,звезда,сердце,путь,новый,лист,милый,боль,слово,рука
думать,свет,вновь,бог,каждый,лето,встреча,глаз,просто,губа
понять,солнце,кровь,дать,время,ветер,вместе,тело,жить,ночь
сказать,ночь,чувство,жить,ночь,окно,счастие,слеза,сказать,тело
ответ,белый,нежность,мир,ждать,зима,сказать,рука,говорить,стих
сегодня,снег,страсть,человек,память,листва,стать,чувство,человек,рядом
хороший,ветер,мечта,дорога,пройти,осенний,остаться,мир,верить,забыть
счастие,облако,любимый,смерть,час,весна,близкий,покой,ждать,глаз
,,,,,,,,,
Я7,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
рука,год,друг,бог,жизнь,хотеть,небо,мочь,любовь,пока
глаз,день,неделя,человек,мир,любить,земля,слово,сердце,идти
ночь,окно,год,дать,судьба,жить,вода,стих,страсть,путь
сон,ждать,верный,сказать,человек,человек,луна,говорить,чувство,простить
сердце,дом,время,знать,большой,сказать,звезда,хороший,любить,никто
душа,весна,стол,святой,душа,знать,ветер,казаться,желать,найти
боль,сегодня,день,душа,смерть,день,петь,писать,вновь,искать
голова,дождь,желать,вера,красота,любимый,облако,душа,кровь,знать
свет,прийти,календарь,любить,век,открыть,песня,сказать,счастливый,сила
тень,зима,хороший,нога,смысл,родный,солнце,поэт,счастие,дорога
,,,,,,,,,
Я4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
небо,мочь,любовь,жизнь,душа,друг,любить,день,глаз,хотеть
свет,знать,вновь,судьба,сердце,круг,забыть,год,рука,сказать
ветер,слово,сердце,мир,тело,давать,простить,каждый,сердце,забыть
солнце,сказать,кровь,жить,стих,враг,говорить,ночь,взгляд,увидеть
сон,жить,счастие,смерть,боль,милый,жить,новый,слеза,жить
весна,стать,чувство,счастие,покой,вместе,сказать,тень,губа,обнять
земля,ждать,страсть,путь,бог,хороший,сердце,время,смотреть,желать
звезда,бог,надежда,дать,мир,вокруг,верить,пройти,боль,понять
дождь,простить,мечта,человек,чувство,верный,любимый,час,видеть,рядом
ночь,просто,боль,идти,петь,год,милый,ждать,слово,тело
,,,,,,,,,
Я3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
небо,любить,любовь,жизнь,душа,мочь,день,слово,знать,жить
глаз,забыть,сердце,судьба,сердце,понять,ночь,сказать,хотеть,мир
свет,хотеть,вновь,идти,тело,просто,год,стих,сказать,стать
рука,простить,кровь,путь,стих,найти,каждый,снова,ждать,друг
сон,сказать,счастие,дорога,спешить,забыть,тень,говорить,никто,год
ветер,хотеться,чувство,дать,боль,уйти,новый,мысль,идти,человек
весна,говорить,мечта,счастие,петь,большой,сегодня,писать,верить,бог
дождь,верить,боль,смерть,покой,никто,ждать,дело,просто,судьба
солнце,любимый,надежда,мысль,бог,помочь,огонь,чувство,хороший,большой
звезда,сердце,огонь,радость,слеза,сила,час,голова,видеть,время
,,,,,,,,,
Я6,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
жизнь,ночь,любовь,мочь,друг,слово,любить,мир,день,душа
судьба,небо,счастие,хотеть,хороший,стих,сердце,человек,год,сердце
идти,дождь,вновь,знать,враг,простить,жить,бог,каждый,глаз
смерть,ветер,мечта,сказать,давать,глаз,говорить,дать,новый,боль
путь,снег,чувство,понять,круг,строка,любимый,жить,уйти,огонь
миг,сон,надежда,большой,просто,сказать,милый,который,давно,тело
время,окно,сердце,пока,остаться,говорить,снова,земля,судьба,судьба
река,рука,вера,ждать,первый,писать,большой,век,время,страсть
дать,свет,ждать,стать,стать,голова,простить,путь,стать,слеза
боль,звезда,разлука,забыть,спешить,губа,господь,господь,который,чувство
,,,,,,,,,
Я5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
знать,небо,мочь,друг,любовь,душа,день,любить,жизнь,мир
слово,ветер,просто,круг,сердце,сердце,год,говорить,судьба,человек
стать,дождь,понять,давать,вновь,тело,каждый,хотеть,время,свет
глаз,свет,забыть,враг,чувство,боль,ночь,простить,смерть,бог
хотеть,ночь,сказать,хороший,счастие,чувство,новый,забыть,человек,жить
сказать,солнце,человек,милый,кровь,свет,тень,любимый,жить,который
рука,снег,иль,вместе,страсть,огонь,время,верить,путь,век
который,земля,уйти,близкий,мечта,спешить,который,уметь,год,иной
жить,сон,бывать,встреча,нежный,покой,сегодня,сказать,идти,прекрасный
ждать,окно,нужно,год,надежда,мысль,час,жить,счастие,новый
,,,,,,,,,
Я2,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
свет,любовь,душа,любить,слово,жизнь,глаз,небо,хотеть,сон
идти,вновь,тело,забыть,сказать,мысль,боль,звезда,знать,ночь
стать,кровь,рука,знать,мысль,время,слеза,солнце,жить,день
сердце,счастие,сердце,простить,мочь,боль,рука,поздно,бояться,весна
жить,сердце,боль,сказать,дело,день,взгляд,ветер,тело,луна
мир,мечта,страсть,писать,простить,судьба,смотреть,земля,огонь,тень
год,огонь,гореть,жить,снова,смысл,страх,снег,ждать,прийти
ждать,весна,дело,уйти,строка,дело,губа,море,счастие,прочь
бог,забыть,мысль,каждый,стих,край,гореть,крыло,земля,слеза
ветер,чувство,писать,просто,знать,верить,простить,луна,спать,дождь
,,,,,,,,,
Я8,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
любовь,дождь,жизнь,мочь,друг,сон,забыть,хотеть,мир,слово
сердце,небо,год,знать,идти,след,простить,бояться,человек,стих
любить,окно,день,просто,путь,жить,понять,снова,век,глаз
боль,день,смерть,сказать,вперёд,видеть,смочь,любить,бог,рука
душа,весна,вновь,дело,большой,найти,боль,который,должный,губа
счастие,солнце,стать,давно,дорога,мечта,сила,уметь,снег,взгляд
чувство,ночь,каждый,никто,враг,искать,вернуться,скрывать,прийти,строчка
отдать,зима,свет,жить,просто,который,просить,вновь,пора,тепло
гореть,осень,время,большой,стать,потерять,уйти,глаз,свет,писать
обида,снег,судьба,стать,судьба,умирать,хотя,дрожать,сказать,лицо
,,,,,,,,,
Ам4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
снова,небо,любовь,друг,жизнь,мочь,душа,любить,знать,стать
день,ветер,счастие,круг,человек,сказать,сердце,сказать,хотеть,остаться
ночь,солнце,чувство,хороший,мир,понять,тело,простить,просто,сказать
глаз,земля,кровь,подруга,дорога,просто,слово,просто,видеть,просто
рука,птица,надежда,сегодня,жить,большой,боль,забыть,жить,большой
сон,звезда,сердце,давать,бог,смочь,чувство,хотеть,верить,хороший
слово,лето,страсть,хотеть,идти,который,сила,спасибо,сказать,год
вновь,море,вновь,год,судьба,стих,бог,нежно,помнить,смочь
остаться,осень,радость,вместе,путь,простить,тоска,верить,точно,белый
слеза,вода,мир,счастие,год,иль,мысль,жить,хороший,однажды
,,,,,,,,,
Ам2,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
небо,любовь,любить,друг,душа,жизнь,слово,знать,сердце,жить
ветер,просто,забыть,круг,стать,идти,бог,мочь,счастие,боль
солнце,кровь,уйти,стать,рука,смерть,снова,хотеть,улыбка,человек
свет,мечта,простить,враг,вода,хотеть,сказать,верить,слеза,хотеть
ночь,боль,просто,встреча,простить,дорога,мысль,дверь,мочь,забыть
мир,мир,глаз,нежный,боль,путь,дать,сказать,чувство,сила
сон,верить,ждать,день,огонь,время,верить,стать,тоска,сон
лето,судьба,вернуться,мгновение,глаз,год,стих,видеть,хотеться,остаться
рассвет,чужой,прощать,взгляд,мечта,глаз,остаться,помнить,конец,умереть
звезда,вечность,мочь,радость,большой,покой,живой,пока,плакать,бояться
,,,,,,,,,
Ам5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
знать,небо,душа,друг,слово,весна,стать,мир,время,мочь
просто,глаз,любовь,давать,снова,осень,новый,свет,птица,дверь
хотеть,звезда,сердце,найти,просто,лето,ждать,каждый,словно,жить
верить,белый,счастие,вечер,последний,зима,день,который,который,год
любить,земля,надежда,улыбка,письмо,ветер,жизнь,ветер,жизнь,сказать
хороший,ночь,чувство,немного,мысль,вновь,год,стих,сегодня,точно
жизнь,луна,боль,суметь,тяжёлый,дождь,правда,полёт,бог,цветок
хотеться,сон,жизнь,любовь,нежность,снег,сон,грань,судьба,любимый
простить,чёрный,тело,дом,каждый,солнце,утро,новый,искать,однажды
уйти,солнце,мечта,узнать,сегодня,снова,надежда,земной,казаться,плакать
,,,,,,,,,
Ам3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
стать,небо,друг,любовь,жизнь,слово,душа,мочь,любить,знать
день,ветер,круг,счастие,жить,стих,сердце,сказать,хотеть,верить
мир,солнце,давать,кровь,судьба,сказать,боль,просто,просто,ждать
время,земля,вместе,чувство,человек,мысль,тело,хороший,простить,каждый
дорога,звезда,враг,вновь,смерть,поэт,покой,простить,забыть,помнить
год,дождь,верный,надежда,хороший,писать,мысль,жить,сердце,жить
снова,весна,помнить,страсть,вечный,глаз,счастие,хотеть,жить,простить
глаз,вода,судьба,нежный,идти,взгляд,рука,рядом,ждать,видеть
свет,снег,счастие,нежность,бывать,говорить,тоска,понять,значит,сказать
идти,осень,просто,боль,год,снова,чувство,смочь,глаз,надеяться
,,,,,,,,,
Ан5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
мочь,небо,друг,любовь,жизнь,город,день,душа,слово,глаз
знать,ветер,далёкий,сердце,судьба,дом,год,мир,любить,рука
просто,дождь,враг,счастие,путь,ночь,каждый,хотеть,сказать,сердце
почему,ночь,дорога,душа,время,мост,новый,стать,каждый,слеза
сказать,окно,давать,надежда,год,улица,снова,жить,снова,смотреть
хотеться,снег,круг,чувство,дорога,белый,время,который,писать,губа
верить,осень,говорить,свет,идти,фонарь,старый,человек,стена,сон
уйти,весна,родный,вера,дать,ждать,сколько,остаться,губа,словно
хороший,зима,встреча,радость,смерть,снег,память,устать,молчать,уходить
давно,солнце,смерть,боль,сколько,который,час,стих,строчка,взгляд
,,,,,,,,,
Ан3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
жизнь,небо,друг,мочь,любовь,любить,хотеть,день,душа,мир
судьба,ветер,круг,просто,счастие,знать,знать,год,сердце,стать
путь,ночь,враг,знать,вновь,жить,сказать,каждый,боль,жить
дорога,сон,вместе,почему,чувство,забыть,просто,новый,слово,человек
время,солнце,рука,понять,слово,сказать,подарить,ночь,глаз,бог
идти,свет,забыть,сказать,кровь,милый,говорить,время,слеза,свет
дать,дождь,год,хороший,говорить,говорить,большой,ждать,рука,хороший
бог,снег,встреча,простить,страсть,просто,рука,снова,мысль,земля
смерть,окно,знать,найти,надежда,уметь,рядом,сколько,чувство,век
счастие,звезда,хороший,слово,нежный,простить,верить,прожить,знать,верить
,,,,,,,,,
Ан2,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
любовь,знать,мочь,жизнь,любить,хотеть,душа,день,небо,мир
сердце,слово,понять,жить,жить,понять,сердце,каждый,сон,стать
вновь,друг,просто,судьба,забыть,жить,боль,год,ветер,человек
кровь,глаз,жить,смерть,почему,молчать,тело,ночь,свет,бог
счастие,сказать,найти,путь,простить,мечтать,спешить,новый,окно,жить
чувство,уйти,помочь,счастие,никто,большой,словно,тень,снег,время
судьба,ждать,хороший,дорога,просто,смочь,мысль,утро,дождь,свет
боль,забыть,стоить,идти,говорить,кричать,человек,огонь,звезда,судьба
страсть,рука,рядом,бог,сердце,сказать,хороший,снова,земля,никто
мечта,просто,почему,год,уметь,видеть,бог,час,весна,большой
,,,,,,,,,
Ан4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
душа,небо,любовь,друг,хотеть,мочь,день,любить,жизнь,путь
сердце,ветер,счастие,стать,сказать,просто,ночь,простить,мир,знать
слово,земля,сердце,враг,стать,знать,сон,жить,человек,год
глаз,дождь,чувство,круг,почему,жить,окно,уметь,жить,дорога
рука,солнце,вновь,вместе,забыть,почему,каждый,забыть,смерть,идти
боль,снег,надежда,слово,устать,говорить,луна,просто,стать,судьба
слеза,вода,мечта,человек,хороший,понять,дом,страдать,бог,забыть
тело,звезда,страсть,помнить,смочь,чувство,тень,ждать,счастие,уйти
сказать,осень,нежный,просто,жить,хороший,рассвет,никто,время,ждать
просто,белый,цветок,навсегда,ждать,стать,свет,смочь,каждый,найти
